Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Mobile,Safari 12,,2019-01-31 16:15:52,2019-01-31 16:17:25,1m - 32.622s,FAILED
,,,,,,
Test Cases/TC001-Check Factsheet URL on home page,Safari 12,,2019-01-31 16:15:53,2019-01-31 16:17:14,1m - 21.047s,FAILED
Start listener action : sampleBeforeTestCase,Safari 12,,2019-01-31 16:15:53,2019-01-31 16:15:53,0.014s,PASSED
"callTestCase(findTestCase(""TT001-Launch Application""), [:], STOP_ON_FAILURE)",Safari 12,,2019-01-31 16:15:53,2019-01-31 16:16:37,43.517s,PASSED
"verifyElementPresent(findTestObject(""Home Page/a_Fact Sheet""), 30)",Safari 12,,2019-01-31 16:16:37,2019-01-31 16:16:37,0.381s,PASSED
"click(findTestObject(""Home Page/a_Fact Sheet""))",Safari 12,,2019-01-31 16:16:37,2019-01-31 16:16:37,0.483s,PASSED
switchToWindowIndex(1),Safari 12,,2019-01-31 16:16:37,2019-01-31 16:17:12,34.196s,FAILED
Start listener action : sampleAfterTestCase,Safari 12,,2019-01-31 16:17:12,2019-01-31 16:17:12,0.003s,PASSED
