Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Validate UI,Chrome 71.0.3578.98,,2019-01-31 12:08:30,2019-01-31 12:11:42,3m - 11.266s,FAILED
,,,,,,
Test Cases/TC001-Check Factsheet URL on home page,Chrome 71.0.3578.98,,2019-01-31 12:08:31,2019-01-31 12:09:27,56.563s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.98,,2019-01-31 12:08:31,2019-01-31 12:08:31,0.020s,PASSED
"callTestCase(findTestCase(""TT001-Launch Application""), [:], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-31 12:08:31,2019-01-31 12:09:22,50.427s,PASSED
"verifyElementPresent(findTestObject(""Home Page/a_Fact Sheet""), 30)",Chrome 71.0.3578.98,,2019-01-31 12:09:22,2019-01-31 12:09:22,0.068s,PASSED
"click(findTestObject(""Home Page/a_Fact Sheet""))",Chrome 71.0.3578.98,,2019-01-31 12:09:22,2019-01-31 12:09:22,0.210s,PASSED
switchToWindowIndex(1),Chrome 71.0.3578.98,,2019-01-31 12:09:22,2019-01-31 12:09:22,0.098s,PASSED
waitForPageLoad(10),Chrome 71.0.3578.98,,2019-01-31 12:09:22,2019-01-31 12:09:23,1.071s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-31 12:09:23,2019-01-31 12:09:24,1.149s,PASSED
ActualUrl = getUrl(),Chrome 71.0.3578.98,,2019-01-31 12:09:24,2019-01-31 12:09:24,0.024s,PASSED
"ExpectedUrl = ""https://ir.amwater.com/cp-content-ms/documents/259581/0/2018_FactSheet_Final.pdf/9af8b6a2-99ad-41f7-927d-cf12840d32ae""",Chrome 71.0.3578.98,,2019-01-31 12:09:24,2019-01-31 12:09:24,0.002s,PASSED
if (ActualUrl.equals(ExpectedUrl)),Chrome 71.0.3578.98,"Comparing PDF url to expected one
",2019-01-31 12:09:24,2019-01-31 12:09:24,0.018s,PASSED
utilities.BasicFunctions.closeApplication(),Chrome 71.0.3578.98,,2019-01-31 12:09:24,2019-01-31 12:09:25,1.039s,PASSED
"markPassed(""Test completed succesfully!"")",Chrome 71.0.3578.98,,2019-01-31 12:09:25,2019-01-31 12:09:25,0.010s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-31 12:09:25,2019-01-31 12:09:25,0.001s,PASSED
,,,,,,
Test Cases/TC003-Verify Header Menu Links are available,Chrome 71.0.3578.98,,2019-01-31 12:09:27,2019-01-31 12:10:33,1m - 5.924s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.98,,2019-01-31 12:09:27,2019-01-31 12:09:27,0.000s,PASSED
"callTestCase(findTestCase(""TT001-Launch Application""), [:], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-31 12:09:28,2019-01-31 12:10:15,47.734s,PASSED
"mouseOver(findTestObject(""Menu_SubMenu_Links/a_Investing With Us""))",Chrome 71.0.3578.98,,2019-01-31 12:10:15,2019-01-31 12:10:15,0.081s,PASSED
"click(findTestObject(""Menu_SubMenu_Links/a_Investment Calculator""))",Chrome 71.0.3578.98,,2019-01-31 12:10:15,2019-01-31 12:10:16,0.186s,PASSED
"lblHeader = getText(findTestObject(""Menu_SubMenu_Links/h1_Investment Calculator""))",Chrome 71.0.3578.98,,2019-01-31 12:10:16,2019-01-31 12:10:31,15.658s,FAILED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-31 12:10:31,2019-01-31 12:10:31,0.001s,PASSED
,,,,,,
Test Cases/TC002-Check Tooltips on Historical Pricing,Chrome 71.0.3578.98,,2019-01-31 12:10:33,2019-01-31 12:11:41,1m - 7.617s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.98,,2019-01-31 12:10:33,2019-01-31 12:10:33,0.000s,PASSED
"callTestCase(findTestCase(""TT001-Launch Application""), [:], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-31 12:10:33,2019-01-31 12:11:23,49.350s,PASSED
"click(findTestObject(""Historical Pricing/a_Investing With Us""))",Chrome 71.0.3578.98,,2019-01-31 12:11:23,2019-01-31 12:11:23,0.116s,PASSED
"waitForElementPresent(findTestObject(""Historical Pricing/a_Historical Pricing""), 20)",Chrome 71.0.3578.98,,2019-01-31 12:11:23,2019-01-31 12:11:23,0.042s,PASSED
"click(findTestObject(""Historical Pricing/a_Historical Pricing""))",Chrome 71.0.3578.98,,2019-01-31 12:11:23,2019-01-31 12:11:23,0.213s,PASSED
"scrollToElement(findTestObject(""Historical Pricing/PDF_Tooltip""), 10)",Chrome 71.0.3578.98,,2019-01-31 12:11:23,2019-01-31 12:11:39,15.714s,FAILED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-31 12:11:39,2019-01-31 12:11:39,0.003s,PASSED
