Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Mobile,Safari 12,,2019-01-30 18:26:16,2019-01-30 18:27:13,57.177s,PASSED
,,,,,,
Test Cases/TT001-Launch Application,Safari 12,,2019-01-30 18:26:17,2019-01-30 18:27:02,45.078s,PASSED
Start listener action : sampleBeforeTestCase,Safari 12,,2019-01-30 18:26:17,2019-01-30 18:26:17,0.071s,PASSED
"openBrowser("""")",Safari 12,,2019-01-30 18:26:17,2019-01-30 18:26:50,32.617s,PASSED
"navigateToUrl(findTestData(""URLs"").getValue(1, 1))",Safari 12,,2019-01-30 18:26:50,2019-01-30 18:26:52,2.021s,PASSED
delay(10),Safari 12,For IE Load,2019-01-30 18:26:52,2019-01-30 18:27:02,10.049s,PASSED
maximizeWindow(),Safari 12,,2019-01-30 18:27:02,2019-01-30 18:27:02,0.001s,NOT_RUN
"takeScreenshot(""D://Katalon_Studio_Windows_64-5.10.1//projects//IR Project//ErrorScreenshots"")",Safari 12,,2019-01-30 18:27:02,2019-01-30 18:27:02,0.002s,NOT_RUN
Start listener action : sampleAfterTestCase,Safari 12,,2019-01-30 18:27:02,2019-01-30 18:27:02,0.003s,PASSED
