Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Validate UI,IE 11,,2019-01-31 11:50:10,2019-01-31 11:54:22,4m - 12.879s,FAILED
,,,,,,
Test Cases/TC001-Check Factsheet URL on home page,IE 11,,2019-01-31 11:50:11,2019-01-31 11:52:11,1m - 59.547s,FAILED
Start listener action : sampleBeforeTestCase,IE 11,,2019-01-31 11:50:11,2019-01-31 11:50:11,0.060s,PASSED
"callTestCase(findTestCase(""TT001-Launch Application""), [:], STOP_ON_FAILURE)",IE 11,,2019-01-31 11:50:13,2019-01-31 11:51:40,1m - 26.323s,PASSED
"verifyElementPresent(findTestObject(""Home Page/a_Fact Sheet""), 30)",IE 11,,2019-01-31 11:51:40,2019-01-31 11:51:42,1.997s,PASSED
"click(findTestObject(""Home Page/a_Fact Sheet""))",IE 11,,2019-01-31 11:51:42,2019-01-31 11:51:51,9.859s,PASSED
switchToWindowIndex(1),IE 11,,2019-01-31 11:51:51,2019-01-31 11:52:08,16.821s,FAILED
Start listener action : sampleAfterTestCase,IE 11,,2019-01-31 11:52:08,2019-01-31 11:52:08,0.002s,PASSED
,,,,,,
Test Cases/TC003-Verify Header Menu Links are available,IE 11,,2019-01-31 11:52:11,2019-01-31 11:53:21,1m - 10.309s,FAILED
Start listener action : sampleBeforeTestCase,IE 11,,2019-01-31 11:52:11,2019-01-31 11:52:11,0.003s,PASSED
"callTestCase(findTestCase(""TT001-Launch Application""), [:], STOP_ON_FAILURE)",IE 11,,2019-01-31 11:52:11,2019-01-31 11:53:17,1m - 5.542s,PASSED
"mouseOver(findTestObject(""Menu_SubMenu_Links/a_Investing With Us""))",IE 11,,2019-01-31 11:53:17,2019-01-31 11:53:18,1.027s,PASSED
"click(findTestObject(""Menu_SubMenu_Links/a_Investment Calculator""))",IE 11,,2019-01-31 11:53:18,2019-01-31 11:53:19,1.036s,FAILED
Start listener action : sampleAfterTestCase,IE 11,,2019-01-31 11:53:19,2019-01-31 11:53:19,0.003s,PASSED
,,,,,,
Test Cases/TC002-Check Tooltips on Historical Pricing,IE 11,,2019-01-31 11:53:21,2019-01-31 11:54:22,1m - 0.794s,FAILED
Start listener action : sampleBeforeTestCase,IE 11,,2019-01-31 11:53:21,2019-01-31 11:53:21,0.006s,PASSED
"callTestCase(findTestCase(""TT001-Launch Application""), [:], STOP_ON_FAILURE)",IE 11,,2019-01-31 11:53:21,2019-01-31 11:54:16,54.743s,PASSED
"click(findTestObject(""Historical Pricing/a_Investing With Us""))",IE 11,,2019-01-31 11:54:16,2019-01-31 11:54:20,3.422s,FAILED
Start listener action : sampleAfterTestCase,IE 11,,2019-01-31 11:54:20,2019-01-31 11:54:20,0.002s,PASSED
