Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Mobile,Safari 12,,2019-01-31 11:41:13,2019-01-31 11:42:10,57.740s,PASSED
,,,,,,
Test Cases/TT001-Launch Application,Safari 12,,2019-01-31 11:41:13,2019-01-31 11:41:59,46.012s,PASSED
Start listener action : sampleBeforeTestCase,Safari 12,,2019-01-31 11:41:13,2019-01-31 11:41:13,0.024s,PASSED
"openBrowser("""")",Safari 12,,2019-01-31 11:41:13,2019-01-31 11:41:45,31.626s,PASSED
"navigateToUrl(findTestData(""URLs"").getValue(1, 1))",Safari 12,,2019-01-31 11:41:45,2019-01-31 11:41:47,1.799s,PASSED
delay(10),Safari 12,For IE Load,2019-01-31 11:41:47,2019-01-31 11:41:57,10.027s,PASSED
maximizeWindow(),Safari 12,,2019-01-31 11:41:57,2019-01-31 11:41:57,0.008s,NOT_RUN
"takeScreenshot(""D://Katalon_Studio_Windows_64-5.10.1//projects//IR Project//ErrorScreenshots"")",Safari 12,,2019-01-31 11:41:57,2019-01-31 11:41:57,0.004s,NOT_RUN
Start listener action : sampleAfterTestCase,Safari 12,,2019-01-31 11:41:57,2019-01-31 11:41:57,0.004s,PASSED
