Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Mobile,Safari 12,,2019-01-31 11:15:47,2019-01-31 11:16:43,55.500s,PASSED
,,,,,,
Test Cases/TT001-Launch Application,Safari 12,,2019-01-31 11:15:48,2019-01-31 11:16:32,43.798s,PASSED
Start listener action : sampleBeforeTestCase,Safari 12,,2019-01-31 11:15:48,2019-01-31 11:15:48,0.017s,PASSED
"openBrowser("""")",Safari 12,,2019-01-31 11:15:48,2019-01-31 11:16:20,31.693s,PASSED
"navigateToUrl(findTestData(""URLs"").getValue(1, 1))",Safari 12,,2019-01-31 11:16:20,2019-01-31 11:16:22,1.842s,PASSED
delay(10),Safari 12,For IE Load,2019-01-31 11:16:22,2019-01-31 11:16:32,10.030s,PASSED
maximizeWindow(),Safari 12,,2019-01-31 11:16:32,2019-01-31 11:16:32,0.004s,NOT_RUN
"takeScreenshot(""D://Katalon_Studio_Windows_64-5.10.1//projects//IR Project//ErrorScreenshots"")",Safari 12,,2019-01-31 11:16:32,2019-01-31 11:16:32,0.001s,NOT_RUN
Start listener action : sampleAfterTestCase,Safari 12,,2019-01-31 11:16:32,2019-01-31 11:16:32,0.002s,PASSED
