Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Mobile,Chrome 68.0.3440.85,,2019-01-31 11:40:01,2019-01-31 11:41:10,1m - 9.723s,PASSED
,,,,,,
Test Cases/TT001-Launch Application,Chrome 68.0.3440.85,,2019-01-31 11:40:01,2019-01-31 11:40:59,58.101s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 68.0.3440.85,,2019-01-31 11:40:01,2019-01-31 11:40:01,0.017s,PASSED
"openBrowser("""")",Chrome 68.0.3440.85,,2019-01-31 11:40:01,2019-01-31 11:40:36,34.777s,PASSED
"navigateToUrl(findTestData(""URLs"").getValue(1, 1))",Chrome 68.0.3440.85,,2019-01-31 11:40:36,2019-01-31 11:40:47,10.789s,PASSED
delay(10),Chrome 68.0.3440.85,For IE Load,2019-01-31 11:40:47,2019-01-31 11:40:57,10.022s,PASSED
maximizeWindow(),Chrome 68.0.3440.85,,2019-01-31 11:40:57,2019-01-31 11:40:57,0.006s,NOT_RUN
"takeScreenshot(""D://Katalon_Studio_Windows_64-5.10.1//projects//IR Project//ErrorScreenshots"")",Chrome 68.0.3440.85,,2019-01-31 11:40:57,2019-01-31 11:40:57,0.002s,NOT_RUN
Start listener action : sampleAfterTestCase,Chrome 68.0.3440.85,,2019-01-31 11:40:57,2019-01-31 11:40:57,0.004s,PASSED
