Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Mobile,Safari 12,,2019-01-31 16:12:57,2019-01-31 16:13:59,1m - 2.288s,FAILED
,,,,,,
Test Cases/TC001-Check Factsheet URL on home page,Safari 12,,2019-01-31 16:12:58,2019-01-31 16:13:48,50.457s,FAILED
Start listener action : sampleBeforeTestCase,Safari 12,,2019-01-31 16:12:58,2019-01-31 16:12:58,0.027s,PASSED
"callTestCase(findTestCase(""TT001-Launch Application""), [:], STOP_ON_FAILURE)",Safari 12,,2019-01-31 16:12:58,2019-01-31 16:13:42,43.826s,PASSED
"verifyElementPresent(findTestObject(""Home Page/a_Fact Sheet""), 30)",Safari 12,,2019-01-31 16:13:42,2019-01-31 16:13:42,0.404s,PASSED
"click(findTestObject(""Home Page/a_Fact Sheet""))",Safari 12,,2019-01-31 16:13:42,2019-01-31 16:13:46,3.614s,FAILED
Start listener action : sampleAfterTestCase,Safari 12,,2019-01-31 16:13:46,2019-01-31 16:13:46,0.004s,PASSED
