Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Mobile,Safari 12,,2019-01-31 19:25:27,2019-01-31 19:26:24,56.402s,FAILED
,,,,,,
Test Cases/TC004_Check Analyst Coverage on mobile,Safari 12,,2019-01-31 19:25:28,2019-01-31 19:26:12,44.748s,FAILED
Start listener action : sampleBeforeTestCase,Safari 12,,2019-01-31 19:25:28,2019-01-31 19:25:28,0.019s,PASSED
"openBrowser("""")",Safari 12,,2019-01-31 19:25:28,2019-01-31 19:26:00,31.710s,PASSED
"navigateToUrl(""https://ir.amwater.com/#/home"")",Safari 12,,2019-01-31 19:26:00,2019-01-31 19:26:01,1.738s,PASSED
"click(findTestObject(""mobile_AnalystCoverage_new/Page_Investor Relations/button_Investing With Us_toggl""))",Safari 12,,2019-01-31 19:26:01,2019-01-31 19:26:10,8.755s,FAILED
Start listener action : sampleAfterTestCase,Safari 12,,2019-01-31 19:26:10,2019-01-31 19:26:10,0.003s,PASSED
