Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Validate UI,Firefox 64.0,,2019-01-31 12:11:44,2019-01-31 12:15:17,3m - 33.363s,FAILED
,,,,,,
Test Cases/TC001-Check Factsheet URL on home page,Firefox 64.0,,2019-01-31 12:11:44,2019-01-31 12:12:55,1m - 10.988s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 64.0,,2019-01-31 12:11:44,2019-01-31 12:11:44,0.014s,PASSED
"callTestCase(findTestCase(""TT001-Launch Application""), [:], STOP_ON_FAILURE)",Firefox 64.0,,2019-01-31 12:11:44,2019-01-31 12:12:40,55.911s,PASSED
"verifyElementPresent(findTestObject(""Home Page/a_Fact Sheet""), 30)",Firefox 64.0,,2019-01-31 12:12:40,2019-01-31 12:12:40,0.042s,PASSED
"click(findTestObject(""Home Page/a_Fact Sheet""))",Firefox 64.0,,2019-01-31 12:12:40,2019-01-31 12:12:41,0.381s,PASSED
switchToWindowIndex(1),Firefox 64.0,,2019-01-31 12:12:41,2019-01-31 12:12:41,0.049s,PASSED
waitForPageLoad(10),Firefox 64.0,,2019-01-31 12:12:41,2019-01-31 12:12:48,7.198s,PASSED
maximizeWindow(),Firefox 64.0,,2019-01-31 12:12:48,2019-01-31 12:12:52,3.520s,PASSED
ActualUrl = getUrl(),Firefox 64.0,,2019-01-31 12:12:52,2019-01-31 12:12:52,0.016s,PASSED
"ExpectedUrl = ""https://ir.amwater.com/cp-content-ms/documents/259581/0/2018_FactSheet_Final.pdf/9af8b6a2-99ad-41f7-927d-cf12840d32ae""",Firefox 64.0,,2019-01-31 12:12:52,2019-01-31 12:12:52,0.002s,PASSED
if (ActualUrl.equals(ExpectedUrl)),Firefox 64.0,"Comparing PDF url to expected one
",2019-01-31 12:12:52,2019-01-31 12:12:52,0.009s,PASSED
utilities.BasicFunctions.closeApplication(),Firefox 64.0,,2019-01-31 12:12:52,2019-01-31 12:12:53,1.400s,PASSED
"markPassed(""Test completed succesfully!"")",Firefox 64.0,,2019-01-31 12:12:53,2019-01-31 12:12:53,0.004s,PASSED
Start listener action : sampleAfterTestCase,Firefox 64.0,,2019-01-31 12:12:53,2019-01-31 12:12:53,0.001s,PASSED
,,,,,,
Test Cases/TC003-Verify Header Menu Links are available,Firefox 64.0,,2019-01-31 12:12:55,2019-01-31 12:14:05,1m - 9.455s,FAILED
Start listener action : sampleBeforeTestCase,Firefox 64.0,,2019-01-31 12:12:55,2019-01-31 12:12:55,0.003s,PASSED
"callTestCase(findTestCase(""TT001-Launch Application""), [:], STOP_ON_FAILURE)",Firefox 64.0,,2019-01-31 12:12:55,2019-01-31 12:13:47,51.444s,PASSED
"mouseOver(findTestObject(""Menu_SubMenu_Links/a_Investing With Us""))",Firefox 64.0,,2019-01-31 12:13:47,2019-01-31 12:13:47,0.153s,PASSED
"click(findTestObject(""Menu_SubMenu_Links/a_Investment Calculator""))",Firefox 64.0,,2019-01-31 12:13:47,2019-01-31 12:13:47,0.345s,PASSED
"lblHeader = getText(findTestObject(""Menu_SubMenu_Links/h1_Investment Calculator""))",Firefox 64.0,,2019-01-31 12:13:47,2019-01-31 12:14:02,15.268s,FAILED
Start listener action : sampleAfterTestCase,Firefox 64.0,,2019-01-31 12:14:02,2019-01-31 12:14:02,0.001s,PASSED
,,,,,,
Test Cases/TC002-Check Tooltips on Historical Pricing,Firefox 64.0,,2019-01-31 12:14:05,2019-01-31 12:15:16,1m - 11.178s,FAILED
Start listener action : sampleBeforeTestCase,Firefox 64.0,,2019-01-31 12:14:05,2019-01-31 12:14:05,0.002s,PASSED
"callTestCase(findTestCase(""TT001-Launch Application""), [:], STOP_ON_FAILURE)",Firefox 64.0,,2019-01-31 12:14:05,2019-01-31 12:14:58,53.161s,PASSED
"click(findTestObject(""Historical Pricing/a_Investing With Us""))",Firefox 64.0,,2019-01-31 12:14:58,2019-01-31 12:14:58,0.255s,PASSED
"waitForElementPresent(findTestObject(""Historical Pricing/a_Historical Pricing""), 20)",Firefox 64.0,,2019-01-31 12:14:58,2019-01-31 12:14:58,0.024s,PASSED
"click(findTestObject(""Historical Pricing/a_Historical Pricing""))",Firefox 64.0,,2019-01-31 12:14:58,2019-01-31 12:14:58,0.327s,PASSED
"scrollToElement(findTestObject(""Historical Pricing/PDF_Tooltip""), 10)",Firefox 64.0,,2019-01-31 12:14:58,2019-01-31 12:15:14,15.240s,FAILED
Start listener action : sampleAfterTestCase,Firefox 64.0,,2019-01-31 12:15:14,2019-01-31 12:15:14,0.002s,PASSED
