Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Validate UI,Firefox 64.0,,2019-01-31 15:15:48,2019-01-31 15:17:58,2m - 10.554s,PASSED
,,,,,,
Test Cases/TC001-Check Factsheet URL on home page,Firefox 64.0,,2019-01-31 15:15:48,2019-01-31 15:16:59,1m - 10.955s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 64.0,,2019-01-31 15:15:48,2019-01-31 15:15:48,0.015s,PASSED
"callTestCase(findTestCase(""TT001-Launch Application""), [:], STOP_ON_FAILURE)",Firefox 64.0,,2019-01-31 15:15:49,2019-01-31 15:16:46,57.163s,PASSED
"verifyElementPresent(findTestObject(""Home Page/a_Fact Sheet""), 30)",Firefox 64.0,,2019-01-31 15:16:46,2019-01-31 15:16:46,0.055s,PASSED
"click(findTestObject(""Home Page/a_Fact Sheet""))",Firefox 64.0,,2019-01-31 15:16:46,2019-01-31 15:16:46,0.420s,PASSED
switchToWindowIndex(1),Firefox 64.0,,2019-01-31 15:16:46,2019-01-31 15:16:46,0.025s,PASSED
waitForPageLoad(10),Firefox 64.0,,2019-01-31 15:16:46,2019-01-31 15:16:52,5.717s,PASSED
maximizeWindow(),Firefox 64.0,,2019-01-31 15:16:52,2019-01-31 15:16:55,3.523s,PASSED
ActualUrl = getUrl(),Firefox 64.0,,2019-01-31 15:16:55,2019-01-31 15:16:56,0.046s,PASSED
"ExpectedUrl = ""https://ir.amwater.com/cp-content-ms/documents/259581/0/2018_FactSheet_Final.pdf/9af8b6a2-99ad-41f7-927d-cf12840d32ae""",Firefox 64.0,,2019-01-31 15:16:56,2019-01-31 15:16:56,0.003s,PASSED
if (ActualUrl.equals(ExpectedUrl)),Firefox 64.0,"Comparing PDF url to expected one
",2019-01-31 15:16:56,2019-01-31 15:16:56,0.017s,PASSED
utilities.BasicFunctions.closeApplication(),Firefox 64.0,,2019-01-31 15:16:56,2019-01-31 15:16:57,1.580s,PASSED
"markPassed(""Test completed succesfully!"")",Firefox 64.0,,2019-01-31 15:16:57,2019-01-31 15:16:57,0.005s,PASSED
Start listener action : sampleAfterTestCase,Firefox 64.0,,2019-01-31 15:16:57,2019-01-31 15:16:57,0.003s,PASSED
,,,,,,
Test Cases/TC002-Check Tooltips on Historical Pricing,Firefox 64.0,,2019-01-31 15:16:59,2019-01-31 15:17:58,59.130s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 64.0,,2019-01-31 15:16:59,2019-01-31 15:16:59,0.010s,PASSED
"callTestCase(findTestCase(""TT001-Launch Application""), [:], STOP_ON_FAILURE)",Firefox 64.0,,2019-01-31 15:16:59,2019-01-31 15:17:54,54.569s,PASSED
"click(findTestObject(""Historical Pricing/a_Investing With Us""))",Firefox 64.0,,2019-01-31 15:17:54,2019-01-31 15:17:54,0.265s,PASSED
"waitForElementPresent(findTestObject(""Historical Pricing/a_Historical Pricing""), 20)",Firefox 64.0,,2019-01-31 15:17:54,2019-01-31 15:17:54,0.026s,PASSED
"click(findTestObject(""Historical Pricing/a_Historical Pricing""))",Firefox 64.0,,2019-01-31 15:17:54,2019-01-31 15:17:55,0.332s,PASSED
"scrollToElement(findTestObject(""Historical Pricing/li_Historical Pricing PDF""), 10, CONTINUE_ON_FAILURE)",Firefox 64.0,,2019-01-31 15:17:55,2019-01-31 15:17:55,0.030s,PASSED
"attribute = getAttribute(findTestObject(""Historical Pricing/li_Historical Pricing PDF""), ""tooltip"")",Firefox 64.0,,2019-01-31 15:17:55,2019-01-31 15:17:55,0.039s,PASSED
"verifyMatch(attribute, ""PDF"", false)",Firefox 64.0,"Verifying tooltip
",2019-01-31 15:17:55,2019-01-31 15:17:55,0.008s,PASSED
closeBrowser(),Firefox 64.0,,2019-01-31 15:17:55,2019-01-31 15:17:56,1.680s,PASSED
Start listener action : sampleAfterTestCase,Firefox 64.0,,2019-01-31 15:17:56,2019-01-31 15:17:56,0.006s,PASSED
