Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Mobile,Chrome 68.0.3440.85,,2019-01-31 11:14:29,2019-01-31 11:15:40,1m - 10.323s,PASSED
,,,,,,
Test Cases/TT001-Launch Application,Chrome 68.0.3440.85,,2019-01-31 11:14:30,2019-01-31 11:15:28,58.704s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 68.0.3440.85,,2019-01-31 11:14:30,2019-01-31 11:14:30,0.024s,PASSED
"openBrowser("""")",Chrome 68.0.3440.85,,2019-01-31 11:14:30,2019-01-31 11:15:08,37.898s,PASSED
"navigateToUrl(findTestData(""URLs"").getValue(1, 1))",Chrome 68.0.3440.85,,2019-01-31 11:15:08,2019-01-31 11:15:18,10.522s,PASSED
delay(10),Chrome 68.0.3440.85,For IE Load,2019-01-31 11:15:18,2019-01-31 11:15:28,10.031s,PASSED
maximizeWindow(),Chrome 68.0.3440.85,,2019-01-31 11:15:28,2019-01-31 11:15:28,0.006s,NOT_RUN
"takeScreenshot(""D://Katalon_Studio_Windows_64-5.10.1//projects//IR Project//ErrorScreenshots"")",Chrome 68.0.3440.85,,2019-01-31 11:15:28,2019-01-31 11:15:28,0.013s,NOT_RUN
Start listener action : sampleAfterTestCase,Chrome 68.0.3440.85,,2019-01-31 11:15:28,2019-01-31 11:15:28,0.003s,PASSED
