Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Mobile,Safari 12,,2019-02-01 11:23:21,2019-02-01 11:24:14,53.075s,PASSED
,,,,,,
Test Cases/TC004_Check Analyst Coverage on mobile,Safari 12,,2019-02-01 11:23:22,2019-02-01 11:24:13,51.196s,PASSED
Start listener action : sampleBeforeTestCase,Safari 12,,2019-02-01 11:23:22,2019-02-01 11:23:22,0.015s,PASSED
"openBrowser("""")",Safari 12,,2019-02-01 11:23:22,2019-02-01 11:23:54,31.471s,PASSED
"navigateToUrl(""https://ir.amwater.com/#/home"")",Safari 12,,2019-02-01 11:23:54,2019-02-01 11:23:56,1.875s,PASSED
"click(findTestObject(""mobile_AnalystCoverage_new/Page_Investor Relations/button_Investing With Us_toggl""))",Safari 12,,2019-02-01 11:23:56,2019-02-01 11:24:02,6.586s,PASSED
"click(findTestObject(""Object Repository/mobile_AnalystCoverage_new/Page_Investor Relations/Page_Investor Relations/i_Investing With Us_fas fa-ang""))",Safari 12,,2019-02-01 11:24:02,2019-02-01 11:24:03,0.630s,PASSED
"click(findTestObject(""mobile_AnalystCoverage_new/Page_Investor Relations/a_Analyst Coverage""))",Safari 12,,2019-02-01 11:24:03,2019-02-01 11:24:04,0.643s,PASSED
"verifyElementPresent(findTestObject(""mobile_AnalystCoverage_new/Page_Investor Relations/p_John Staszak""), 0, CONTINUE_ON_FAILURE)",Safari 12,,2019-02-01 11:24:04,2019-02-01 11:24:04,0.360s,PASSED
"verifyElementPresent(findTestObject(""mobile_AnalystCoverage_new/Page_Investor Relations/h5_Argus""), 0, CONTINUE_ON_FAILURE)",Safari 12,,2019-02-01 11:24:04,2019-02-01 11:24:04,0.256s,PASSED
"verifyElementPresent(findTestObject(""Analyst Coverage/h5_Atwater Thornton""), 0, CONTINUE_ON_FAILURE)",Safari 12,,2019-02-01 11:24:04,2019-02-01 11:24:05,0.297s,PASSED
"verifyElementPresent(findTestObject(""Analyst Coverage/h5_Baird Equity Research""), 0, CONTINUE_ON_FAILURE)",Safari 12,,2019-02-01 11:24:05,2019-02-01 11:24:05,0.242s,PASSED
